Country,Albania,Armenia,Australia,Botswana,Brazil,Bulgaria,Canada,Chile,China,Congo,Finland,Germany,India,Indonesia,Iran,Japan,Kazakhstan,NorthKorea,SouthKorea,Mexico,Namibia,Oman,Pakistan,Peru,Philippines,Poland,Romania,Russia,Serbia,Slovakia,SouthAfrica,Spain,Sweden,Thailand,Turkey,USA,Uzbekistan,Vietnam,Zambia,Zimbabwe
2008,,6480,449000,23146,184400,257100,443798,1369200,2500000,,172354,295000,651000,253300,180000,1366310,392575,15000,502000,200200,16271,11906,17800,360400,239700,438600,,650000,30200,,111900,249400,132500,11900,30000,617000,92000,,11000,224000
2009,,6858,422000,24382,176000,256200,316510,1522300,2700000,,137710,286300,705100,295900,193000,1297943,369000,15000,455000,153700,21500,12000,17500,341500,230100,427800,,630000,31900,,94800,256900,128500,,35000,574000,92000,,2200,232000
2010,,7644,410000,22750,222300,229900,318006,1559800,2800000,,149000,378700,748800,262700,190000,1382700,319000,12000,457900,118500,31900,9000,18800,312968,216200,469700,,590000,23000,,75900,236000,142000,,25000,601000,92000,8000,535000,334000
2011,,8876,442000,16100,222550,256300,304724,1522300,3030000,,156000,335000,670000,276200,185000,1168284,303000,12000,449200,233800,43800,12000,18000,299004,205000,481900,,596490,27000,,82400,231000,162000,,25000,538000,92000,8000,520000,490000
2012,,10075,422000,17625,186000,264200,287051,1342400,3200000,,175000,352400,680000,198400,180000,1304900,302000,12000,477300,255900,39800,12000,19200,290088,97000,466700,,621000,33000,,62300,270000,151000,,25000,485000,96000,8000,519000,
2013,,10771,446000,21300,200000,294000,254000,1358300,4000000,,175000,295200,690000,217700,155000,1249300,269000,12000,478800,215000,38100,12000,13500,320000,181900,458800,,625000,33000,,69700,212000,140000,,31500,516000,98000,8000,520000,
2014,,9814,468000,14628,182800,318700,288699,1362400,5170000,,169000,349700,766000,236900,156500,1290640,214058,10000,500000,258000,36877,21000,13000,314615,153200,503111,,664000,30700,,71700,285400,145300,,40600,522000,99500,12500,525800,
2015,,11601,433000,13888,157800,292200,281416,1382000,5500000,,166500,349700,792600,199700,153500,1175101,309355,10000,511200,256300,45220,26500,13000,327909,189200,514774,,661000,43000,,71800,286300,137400,,45400,527000,101000,11000,648800,
2016,,12920,445000,11348,188500,245000,304349,1365300,5800000,,150000,342800,769800,255700,153400,1137864,310001,10000,510000,267800,40869,11300,14000,309469,215000,446902,,665000,61000,,68700,292300,131500,,46200,563000,101000,11000,698100,
2017,,12051,360000,,118800,322700,289400,1264600,6050000,,150000,332600,813100,247176,114200,1118626,334844,10000,510000,270000,45523,20400,10000,316882,240000,457549,,730000,68200,,70000,272000,150000,,46000,470000,101000,15800,787900,
2018,,8831,361000,,125500,316800,290100,1246100,7035600,,123500,311200,481500,213767,204100,1169500,327314,10000,530000,286200,48970,6000,12500,327821,170900,461865,,789000,75000,,33300,284800,152100,,85400,536000,140000,15100,828700,
2019,,,401000,,115400,260600,290000,1011200,7400000,,109700,288600,342300,163429,201100,1112276,371359,10000,520000,277700,45953,,13000,294315,217800,489242,,801000,73000,,26000,255700,135900,,83700,464000,145000,19200,638500,
2020,,,402000,,85400,310000,290000,1206300,7907000,,130000,312600,243200,279598,223300,1259400,375000,10000,513900,283600,46792,,5700,342738,247000,462868,,815200,285000,,13000,257700,157200,,78900,315000,145000,19200,750600,
