,lat,long,nearest_RID,nearest_city,recycler_lat,recycler_lon,distance_km
p85,34.68125955,-92.02589394,r7,"Dallas, TX",32.7767,-96.797,489.33657289846224
p86,32.56645631,-91.92922355,r7,"Dallas, TX",32.7767,-96.797,456.1907804741337
p87,32.31228173,-89.94310381,r8,"Sparta, TN",35.9259,-85.46414,575.5843798443649
p88,33.90483098,-88.95057971,r8,"Sparta, TN",35.9259,-85.46414,389.2617781606592
p89,33.64251888,-87.33420755,r8,"Sparta, TN",35.9259,-85.46414,305.9780984537107
p9,38.40912626,-121.4370073,r2,"Gilroy, CA",37.00578,-121.56828,156.4718743560147
p90,32.1705336,-86.45223669,r8,"Sparta, TN",35.9259,-85.46414,427.37809990201964
p91,30.60299528,-86.0233856,r11,"Jacksonville, FL",30.33218,-81.65565,419.66236009768255
p92,35.84707003,-86.38840824,r8,"Sparta, TN",35.9259,-85.46414,83.72528152189903
p93,36.88033989,-87.70288407,r8,"Sparta, TN",35.9259,-85.46414,226.72292197729442
p94,32.65498374,-83.44185834,r11,"Jacksonville, FL",30.33218,-81.65565,308.84453848077624
p95,34.68340161,-82.05850213,r10,"Salisbury, NC",35.66862,-80.47871,180.60128915016853
p96,33.66656218,-80.47018517,r10,"Salisbury, NC",35.66862,-80.47871,222.62034475307445
p97,35.70354545,-81.46948528,r10,"Salisbury, NC",35.66862,-80.47871,89.5661673870152
p98,35.43899188,-78.0631739,r10,"Salisbury, NC",35.66862,-80.47871,220.0022759063308
p99,37.64107262,-78.02222606,r10,"Salisbury, NC",35.66862,-80.47871,310.01331843089747
