,,,REGION,,,,,,,,,,,,,,,,
1/1/2012,1/1/2013,Process Energy (DC),13968,,14540,,14688,,14103,,14673,,13991,,13826,,13014,,13757
1/1/2013,1/1/2014,Total Energy (AC),15534,,15584,,15694,,14749,,15528,,14643,,14817,,13740,,14561
1/1/2013,1/1/2014,Process Energy (DC),15028,,14373,,14443,,14003,,14579,,13965,,13962,,12969,,13706
1/1/2014,1/1/2015,Total Energy (AC),14569,,14933,,15038,,14766,,15494,,14770,,14889,,13596,,14292
1/1/2014,1/1/2015,Process Energy (DC),13706,,13706,,14236,,13949,,14452,,13940,,13799,,12870,,13467
1/1/2015,1/1/2016,Total Energy (AC),14550,,15130,,15751,,14891,,15522,,14667,,14497,,13562,,14239
1/1/2015,1/1/2016,Process Energy (DC),13714,,13772,,14607,,13928,,14444,,13990,,13681,,12875,,13403
1/1/2016,1/1/2017,Total Energy (AC),14280,,15613,,15944,,14767,,15513,,14613,,14868,,13599,,14305
1/1/2016,1/1/2017,Process Energy (DC),13437,,13589,,14630,,13789,,14371,,13740,,13664,,12908,,13374
1/1/2017,1/1/2018,Total Energy (AC),13892,,14738,,15159,,14751,,15141,,14624,,15252,,13579,,14161
1/1/2017,1/1/2018,Process Energy (DC),13591,,13761,,14375,,13672,,14352,,13743,,13826,,12911,,13360
1/1/2018,1/1/2019,Total Energy (AC),14512,,14927,,15919,,14914,,15468,,14517,,15094,,13555,,14221
1/1/2018,1/1/2019,Process Energy (DC),13704,,13931,,14317,,13633,,14384,,13622,,13738,,12900,,13352
1/1/2019,1/1/2020,Total Energy (AC),14527,,15499,,15510,,14900,,15474,,14501,,15126,,13531,,14255
1/1/2019,1/1/2020,Process Energy (DC),13775,,14035,,14481,,13614,,14336,,13628,,13720,,12881,,13354
1/1/2020,1/1/2021,Total Energy (AC),14567,,15008,,17169,,14888,,15499,,14515,,15129,,13543,,14243
1/1/2020,1/1/2021,Process Energy (DC),13786,,14040,,14685,,13626,,14015,,13665,,13745,,12837,,13283
1/1/2021,1/1/2022,Total Energy (AC),14499,,13089,,16490,,14669,,15146,,16513,,15190,,13511,,14114
1/1/2021,1/1/2022,Process Energy (DC),13702,,12513,,14434,,13485,,14184,,13657,,13807,,12823,,13206
