,year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
25,2020,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
26,2021,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
27,2022,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
28,2023,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
29,2024,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
30,2025,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
31,2026,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
32,2027,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
33,2028,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
34,2029,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
35,2030,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
36,2031,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
37,2032,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
38,2033,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
39,2034,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
40,2035,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
41,2036,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
42,2037,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
43,2038,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
44,2039,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
45,2040,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
46,2041,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
47,2042,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
48,2043,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
49,2044,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
50,2045,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
51,2046,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
52,2047,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
53,2048,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
54,2049,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
55,2050,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
