@scenario|Module Composition Scenario,@timeseries|Year,@value|TotalVirginMaterialDemand|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|TotalVirginMaterialDemand|PV ICE Bifacial#MetricTonnes,@value|TotalVirginMaterialDemand|PV ICE#MetricTonnes,@value|TotalVirginMaterialDemand|Irena EL#MetricTonnes,@value|TotalVirginMaterialDemand|Irena RL#MetricTonnes,@value|TotalEOLMaterial|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|TotalEOLMaterial|PV ICE Bifacial#MetricTonnes,@value|TotalEOLMaterial|PV ICE#MetricTonnes,@value|TotalEOLMaterial|Irena EL#MetricTonnes,@value|TotalEOLMaterial|Irena RL#MetricTonnes,@value|ManufacturingScrap|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|ManufacturingScrap|PV ICE Bifacial#MetricTonnes,@value|ManufacturingScrap|PV ICE#MetricTonnes,@value|ManufacturingScrap|Irena EL#MetricTonnes,@value|ManufacturingScrap|Irena RL#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|PV ICE Bifacial Reduced Installs#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|PV ICE Bifacial#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|PV ICE#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Irena EL#MetricTonnes,@value|ManufacturingScrapAndEOLMaterial|Irena RL#MetricTonnes,@value|NewInstalledCapacity|PV ICE Bifacial Reduced Installs#MW,@value|NewInstalledCapacity|PV ICE Bifacial#MW,@value|NewInstalledCapacity|PV ICE#MW,@value|NewInstalledCapacity|Irena EL#MW,@value|NewInstalledCapacity|Irena RL#MW,@value|Installed Capacity|PV ICE Bifacial Reduced Installs#MW,@value|Installed Capacity|PV ICE Bifacial#MW,@value|Installed Capacity|Cumulative New Installs#MW,@value|InstalledCapacity|PV ICE#MW,@value|InstalledCapacity|Irena EL#MW,@value|InstalledCapacity|Irena RL#MW
Today,2017,NA,NA,2959418.571,2696212.545,2696439.959,NA,NA,13462.07117,47162.07723,3522.329231,NA,NA,182202.1133,2.04E-11,2.04E-11,NA,NA,195664.1845,47162.07723,3522.329231,NA,NA,44414.73028,44414.73028,44414.73028,NA,NA,44414.73028,144646.3851,143322.7163,145164.6672
Today,2018,NA,NA,3513642.02,3211229.684,3211554.627,NA,NA,17474.67438,68938.73025,4998.149331,NA,NA,208618.3737,2.04E-11,2.04E-11,NA,NA,226093.0481,68938.73025,4998.149331,NA,NA,53767.25973,53767.25973,53767.25973,NA,NA,53767.25973,197915.2688,195853.5984,198577.6474
Today,2019,NA,NA,4147339.519,3802236.681,3802700.013,NA,NA,22710.59416,100624.6273,7061.959804,NA,NA,237228.9676,-4.06E-11,-4.06E-11,NA,NA,259939.5617,100624.6273,7061.959804,NA,NA,64717.04207,64717.04207,64717.04207,NA,NA,64717.04207,261940.3671,258734.7296,262785.448
Today,2020,NA,NA,4963217.514,4566501.004,4567156.163,NA,NA,29215.07264,145703.1142,9967.662709,NA,NA,271548.8811,-4.06E-11,-4.06E-11,NA,NA,300763.9537,145703.1142,9967.662709,NA,NA,79171.81247,79171.81247,79171.81247,NA,NA,79171.81247,340191.3024,335237.9992,341262.5191
Today,2021,NA,NA,6571748.157,6077396.97,6078311.151,NA,NA,36975.49248,208235.4972,14091.65673,NA,NA,336749.9963,-4.06E-11,-4.06E-11,NA,NA,373725.4887,208235.4972,14091.65673,NA,NA,108687.0735,108687.0735,108687.0735,NA,NA,108687.0735,447735.6276,440163.5799,449076.0485
Today,2022,NA,NA,8140312.009,7553316.383,7554571.658,NA,NA,45984.75435,292970.203,19985.665,NA,NA,398695.8224,-1.01E-11,-1.01E-11,NA,NA,444680.5767,292970.203,19985.665,NA,NA,138202.3344,138202.3344,138202.3344,NA,NA,138202.3344,584412.0778,572999.2671,586056.728
Today,2023,NA,NA,9122765.158,8481051.11,8482745.943,NA,NA,56339.33737,405587.1034,28443.31424,NA,NA,435126.0704,-1.01E-11,-1.01E-11,NA,NA,491465.4078,405587.1034,28443.31424,NA,NA,157092.8471,157092.8471,157092.8471,NA,NA,157092.8471,739382.5768,722454.0212,741348.4463
Today,2024,NA,NA,10087879.03,9395169.391,9397419.273,NA,NA,68344.07143,552576.6731,40581.36124,NA,NA,468898.1034,5.23E-12,5.23E-12,NA,NA,537242.1748,552576.6731,40581.36124,NA,NA,175983.3597,175983.3597,175983.3597,NA,NA,175983.3597,912527.8781,887838.0827,914801.6546
Today,2025,NA,NA,10905302.78,10170967.74,10173903.9,NA,NA,82585.89053,740811.4544,57935.97575,NA,NA,496322.8032,-1.01E-11,-1.01E-11,NA,NA,578908.6937,740811.4544,57935.97575,NA,NA,192222.2395,192222.2395,192222.2395,NA,NA,192222.2395,1101060.393,1065669.304,1103583.383
Today,2026,NA,NA,11711369.13,10938164.68,10941930.94,NA,NA,99986.27198,977119.988,82572.31737,NA,NA,521870.5277,-1.01E-11,-1.01E-11,NA,NA,621856.7996,977119.988,82572.31737,NA,NA,208461.1193,208461.1193,208461.1193,NA,NA,208461.1193,1304854.595,1255006.019,1307503.864
Today,2027,NA,NA,13246010.63,12402524.32,12407272.01,NA,NA,121900.3477,1267805.269,117201.8434,NA,NA,568501.9247,2.04E-11,2.04E-11,NA,NA,690402.2724,1267805.269,117201.8434,NA,NA,239744.2788,239744.2788,239744.2788,NA,NA,239744.2788,1538876.512,1469889.956,1541441.684
Today,2028,NA,NA,14764571.95,13854359.38,13860241.03,NA,NA,150264.6636,1618328.387,165296.0933,NA,NA,612720.9172,2.04E-11,2.04E-11,NA,NA,762985.5807,1618328.387,165296.0933,NA,NA,271027.4384,271027.4384,271027.4384,NA,NA,271027.4384,1802886.022,1709070.153,1805041.673
Today,2029,NA,NA,16875652.04,15878851.88,15886014.83,NA,NA,187657.5082,2033252.669,231178.8925,NA,NA,670499.6772,2.04E-11,2.04E-11,NA,NA,858157.1853,2033252.669,231178.8925,NA,NA,314978.7098,314978.7098,314978.7098,NA,NA,314978.7098,2109318.655,1983908.119,2110591.273
Today,2030,NA,NA,18967585.26,17888929.55,17897509.77,NA,NA,237150.2728,2516201.657,320073.2276,NA,NA,725114.6822,-1.01E-11,-1.01E-11,NA,NA,962264.955,2516201.657,320073.2276,NA,NA,358929.9813,358929.9813,358929.9813,NA,NA,358929.9813,2457785.087,2292899.975,2457511.593
Today,2031,NA,NA,21243121.06,20075392.51,20085509.79,NA,NA,301994.0565,3070021.034,438076.2367,NA,NA,784524.3084,-2.54E-10,-2.54E-10,NA,NA,1086518.365,3070021.034,438076.2367,NA,NA,407035.2856,407035.2856,407035.2856,NA,NA,407035.2856,2852008.538,2638629.698,2849282.35
Today,2032,NA,NA,23505628.41,22249161.39,22260915.99,NA,NA,385308.7975,3696908.067,592038.5767,NA,NA,843595.89,-1.02E-11,-1.02E-11,NA,NA,1228904.687,3696908.067,592038.5767,NA,NA,455140.5899,455140.5899,455140.5899,NA,NA,455140.5899,3291470.862,3019425.517,3285073.089
Today,2033,NA,NA,25014529.13,23698081.3,23711552.79,NA,NA,489973.3519,4398624.95,789334.9588,NA,NA,882997.2203,-1.03E-11,-1.03E-11,NA,NA,1372970.572,4398624.95,789334.9588,NA,NA,487398.2173,487398.2173,487398.2173,NA,NA,487398.2173,3759684.789,3417637.97,3748002.532
Today,2034,NA,NA,26515854.27,25139556.89,25154804.75,NA,NA,618807.7242,5176567.385,1037531.718,NA,NA,922203.2327,-1.04E-11,-1.04E-11,NA,NA,1541010.957,5176567.385,1037531.718,NA,NA,519655.8447,519655.8447,519655.8447,NA,NA,519655.8447,4256091.059,3831545.715,4237030.49
Today,2035,NA,NA,27444625,26030294.4,26047359.61,NA,NA,775168.8523,6031612.884,1343982.478,NA,NA,946465.6374,9.63E-11,9.63E-11,NA,NA,1721634.49,6031612.884,1343982.478,NA,NA,539711.6875,539711.6875,539711.6875,NA,NA,539711.6875,4767825.005,4247143.802,4738733.548
Today,2036,NA,NA,28369201.02,26916852.56,26935759.98,NA,NA,963419.8853,6964010.152,1715407.13,NA,NA,970621.4931,1.15E-10,1.15E-10,NA,NA,1934041.378,6964010.152,1715407.13,NA,NA,559767.5304,559767.5304,559767.5304,NA,NA,559767.5304,5294245.432,4662703.949,5251855.912
Today,2037,NA,NA,29254783.93,27765785.49,27786545.85,NA,NA,1188883.236,7973111.106,2157522.357,NA,NA,993762.8566,-6.56E-12,-6.56E-12,NA,NA,2182646.092,7973111.106,2157522.357,NA,NA,579061.2285,579061.2285,579061.2285,NA,NA,579061.2285,5833861.96,5075737.781,5774262.799
Today,2038,NA,NA,30136724.63,28611108.17,28633719.25,NA,NA,1456444.284,9057167.409,2674782.987,NA,NA,1016813.001,-6.56E-12,-6.56E-12,NA,NA,2473257.286,9057167.409,2674782.987,NA,NA,598354.9266,598354.9266,598354.9266,NA,NA,598354.9266,6385869.288,5484549.439,6304483.465
Today,2039,NA,NA,32444708.29,30827656.52,30852102.64,NA,NA,1767833.941,10213073.4,3270260.569,NA,NA,1077093.304,-1.41E-11,-1.41E-11,NA,NA,2844927.245,10213073.4,3270260.569,NA,NA,649001.3543,649001.3543,649001.3543,NA,NA,649001.3543,6980914.324,5918984.875,6872448.54
Today,2040,NA,NA,34744298.22,33036036.76,33062287.25,NA,NA,2118885.73,11436318.64,3945642.77,NA,NA,1137158.066,-6.20E-12,-6.20E-12,NA,NA,3256043.796,11436318.64,3945642.77,NA,NA,699647.7819,699647.7819,699647.7819,NA,NA,699647.7819,7618097.634,6377373.812,7476421.222
Today,2041,NA,NA,35642059.85,33896262.25,33924270.12,NA,NA,2498776.083,12721337.55,4701307.681,NA,NA,1160631.237,-6.20E-12,-6.20E-12,NA,NA,3659407.321,12721337.55,4701307.681,NA,NA,719508.151,719508.151,719508.151,NA,NA,719508.151,8265753.55,6827229.066,8083695.143
Today,2042,NA,NA,36536846.26,34753470.11,34783169.4,NA,NA,2892392.364,14061292.48,5536425.946,NA,NA,1184027.611,-2.15E-11,-2.15E-11,NA,NA,4076419.975,14061292.48,5536425.946,NA,NA,739368.5201,739368.5201,739368.5201,NA,NA,739368.5201,8923499.813,7267255.303,8692596.933
Today,2043,NA,NA,38332043.4,36476363.11,36507663.78,NA,NA,3287388.098,15447413.71,6449067.8,NA,NA,1230928.392,-2.15E-11,-2.15E-11,NA,NA,4518316.49,15447413.71,6449067.8,NA,NA,779306.3041,779306.3041,779306.3041,NA,NA,779306.3041,9611347.579,7716541.12,9321656.607
Today,2044,NA,NA,40121886.09,38193923.44,38226706.11,NA,NA,3671367.871,16869001.72,7436342.173,NA,NA,1277687.746,-2.15E-11,-2.15E-11,NA,NA,4949055.618,16869001.72,7436342.173,NA,NA,819244.0881,819244.0881,819244.0881,NA,NA,819244.0881,10329265.61,8174172.413,9969198.279
Today,2045,NA,NA,41569519.44,39582284.82,39616397.71,NA,NA,4049689.402,18314152.06,8494674.558,NA,NA,1315512.817,-2.15E-11,-2.15E-11,NA,NA,5365202.219,18314152.06,8494674.558,NA,NA,851645.0025,851645.0025,851645.0025,NA,NA,851645.0025,11069552.49,8631910.554,10626008.45
Today,2046,NA,NA,43013086.99,40966710.06,41001967.76,NA,NA,4437156.361,19770644.4,9620378.38,NA,NA,1353232.114,-2.15E-11,-2.15E-11,NA,NA,5790388.475,19770644.4,9620378.38,NA,NA,884045.9168,884045.9168,884045.9168,NA,NA,884045.9168,11831857.83,9089379.006,11290523.26
Today,2047,NA,NA,44987757.8,42861934.31,42898117.82,NA,NA,4851697.688,21226976.18,10810538.36,NA,NA,1404817.67,-2.15E-11,-2.15E-11,NA,NA,6256515.358,21226976.18,10810538.36,NA,NA,928477.8565,928477.8565,928477.8565,NA,NA,928477.8565,12627618.94,9558532.015,11973305.97
Today,2048,NA,NA,46957086.47,44752237.68,44789096.73,NA,NA,5323280.076,22673658.34,12063823.71,NA,NA,1456268.742,-1.39E-11,-1.39E-11,NA,NA,6779548.818,22673658.34,12063823.71,NA,NA,972909.7962,972909.7962,972909.7962,NA,NA,972909.7962,13455640.21,10039392.94,12672810.1
Today,2049,NA,NA,49724093.54,47409915.66,47447175.91,NA,NA,5871669.52,24104530.19,13380430.79,NA,NA,1528549.654,-1.39E-11,-1.39E-11,NA,NA,7400219.174,24104530.19,13380430.79,NA,NA,1035487.696,1035487.696,1035487.696,NA,NA,1035487.696,14332607.65,10550314.94,13405697.7
Today,2050,NA,NA,52484086.47,50061153.71,50098532.88,NA,NA,6493663.352,25517687.11,14760439.88,NA,NA,1600654.081,-1.38E-11,-1.38E-11,NA,NA,8094317.433,25517687.11,14760439.88,NA,NA,1098065.596,1098065.596,1098065.596,NA,NA,1098065.596,15256987.11,11091391.01,14170358.8
Bifacial Projection,1995,1356.206388,1356.206388,1356.206388,1203.298284,1203.298284,0,0,0,0,0,110.209761,110.209761,110.209761,0,0,110.209761,110.209761,110.209761,0,0,12.5,12.5,12.5,12.5,12.5,12.6,12.6,12.5,12.6,12.6,12.6
Bifacial Projection,1996,2380.008889,2380.008889,2380.008889,2112.144791,2112.146469,0.00394234,0.00394234,0.00394234,0.247088028,1.35E-05,192.976052,192.976052,192.976052,0,0,192.9799943,192.9799943,192.9799943,0.247088028,1.35E-05,22.16766667,22.16766667,22.16766667,22.16766667,22.16766667,34.84374817,34.84374817,22.16766667,34.84374817,34.84116682,34.84378988
Bifacial Projection,1997,3561.139562,3561.139562,3561.139562,3158.986571,3158.998914,0.091008148,0.091008148,0.091008148,1.820835491,0.000583925,289.4747087,289.4747087,289.4747087,1.19E-13,1.19E-13,289.5657169,289.5657169,289.5657169,1.820835491,0.000583925,33.78966667,33.78966667,33.78966667,33.78966667,33.78966667,68.65393595,68.65393595,33.78966667,68.65393595,68.63303343,68.6549333
Bifacial Projection,1998,4723.908236,4723.908236,4723.908236,4189.291748,4189.338188,0.658075768,0.658075768,0.658075768,6.882105297,0.005973657,384.5122401,384.5122401,384.5122401,1.50E-13,1.50E-13,385.1703159,385.1703159,385.1703159,6.882105297,0.005973657,45.57066667,45.57066667,45.57066667,45.57066667,45.57066667,114.1175848,114.1175848,45.57066667,114.1175848,114.0307846,114.1254498
Bifacial Projection,1999,6355.686284,6355.686284,6355.686284,5636.171027,5636.297721,2.830367874,2.830367874,2.830367874,18.90678817,0.033478861,517.0061838,517.0061838,517.0061838,1.50E-13,1.50E-13,519.8365517,519.8365517,519.8365517,18.90678817,0.033478861,62.45533334,62.45533334,62.45533334,62.45533334,62.45533334,176.295661,176.295661,62.45533334,176.295661,176.0383971,176.3328689
Bifacial Projection,2000,8332.136493,8332.136493,8332.136493,7390.285702,7390.570736,8.97489758,8.97489758,8.97489758,42.90484039,0.133061132,676.6603622,676.6603622,676.6603622,1.50E-13,1.50E-13,685.6352598,685.6352598,685.6352598,42.90484039,0.133061132,83.38200001,83.38200001,83.38200001,83.38200001,83.38200001,259.1161675,259.1161675,83.38200001,259.1161675,258.4979083,259.2457459
Bifacial Projection,2001,10922.98923,10922.98923,10922.98923,9691.497631,9692.061636,23.26550587,23.26550587,23.26550587,85.74446965,0.422262459,884.3608931,884.3608931,884.3608931,1.50E-13,1.50E-13,907.626399,907.626399,907.626399,85.74446965,0.422262459,111.367,111.367,111.367,111.367,111.367,369.4832132,369.4832132,111.367,369.4832132,368.1963398,369.8503643
Bifacial Projection,2002,14795.63921,14795.63921,14795.63921,13134.13149,13135.14945,52.21603649,52.21603649,52.21603649,156.4791171,1.142545377,1192.339002,1192.339002,1192.339002,1.50E-13,1.50E-13,1244.555039,1244.555039,1244.555039,156.4791171,1.142545377,153.843,153.843,153.843,153.843,153.843,521.6676056,521.6676056,153.843,521.6676056,519.2550957,522.5634771
Bifacial Projection,2003,20166.98065,20166.98065,20166.98065,17913.80675,17915.5216,105.0071072,105.0071072,105.0071072,266.8353593,2.744708,1615.562804,1615.562804,1615.562804,1.50E-13,1.50E-13,1720.569911,1720.569911,1720.569911,266.8353593,2.744708,213.588,213.588,213.588,213.588,213.588,732.5482304,732.5482304,213.588,732.5482304,728.3666229,734.4978401
Bifacial Projection,2004,28556.11927,28556.11927,28556.11927,25373.06737,25375.80668,193.2948113,193.2948113,193.2948113,432.0059981,6.012974946,2280.89596,2280.89596,2280.89596,1.50E-13,1.50E-13,2474.190771,2474.190771,2474.190771,432.0059981,6.012974946,308.34,308.34,308.34,308.34,308.34,1036.646049,1036.646049,308.34,1036.646049,1029.810806,1040.516728
Bifacial Projection,2005,36921.48786,36921.48786,36921.48786,32731.12382,32735.3216,330.0748895,330.0748895,330.0748895,671.9011475,12.24016098,3007.252026,3007.252026,3007.252026,9.02E-14,9.02E-14,3337.326915,3337.326915,3337.326915,671.9011475,12.24016098,404.9211732,404.9211732,404.9211732,404.9211732,404.9211732,1434.708449,1434.708449,404.9211732,1434.708449,1423.993308,1441.825373
Bifacial Projection,2006,45320.75198,45320.75198,45320.75198,40045.59482,40051.81854,527.2690928,527.2690928,527.2690928,1012.593394,23.46990606,3794.980735,3794.980735,3794.980735,1.28E-12,1.28E-12,4322.249828,4322.249828,4322.249828,1012.593394,23.46990606,503.1342448,503.1342448,503.1342448,503.1342448,503.1342448,1927.198142,1927.198142,503.1342448,1927.198142,1910.84479,1939.44073
Bifacial Projection,2007,72708.1935,72708.1935,72708.1935,63868.29735,63877.27338,792.33989,792.33989,792.33989,1486.668555,42.82552493,6386.308606,6386.308606,6386.308606,1.28E-12,1.28E-12,7178.648496,7178.648496,7178.648496,1486.668555,42.82552493,827.3669932,827.3669932,827.3669932,827.3669932,827.3669932,2740.450218,2740.450218,827.3669932,2740.450218,2715.849748,2760.294096
Bifacial Projection,2008,98955.44634,98955.44634,98955.44634,86670.61016,86683.26159,1125.645607,1125.645607,1125.645607,2136.318127,74.9440759,8891.77826,8891.77826,8891.77826,1.28E-12,1.28E-12,10017.42387,10017.42387,10017.42387,2136.318127,74.9440759,1141.952102,1141.952102,1141.952102,1141.952102,1141.952102,3861.893768,3861.893768,1141.952102,3861.893768,3825.072748,3892.371965
Bifacial Projection,2009,134502.7594,134502.7594,134502.7594,117583.3855,117600.9065,1521.881921,1521.881921,1521.881921,3021.165376,126.5329576,12259.50155,12259.50155,12259.50155,1.28E-12,1.28E-12,13781.38347,13781.38347,13781.38347,3021.165376,126.5329576,1573.196906,1573.196906,1573.196906,1573.196906,1573.196906,5406.469446,5406.469446,1573.196906,5406.469446,5351.292738,5451.069111
Bifacial Projection,2010,190752.8365,190752.8365,190752.8365,168622.1047,168646.0554,2190.606544,2190.606544,2190.606544,4223.23739,207.0757906,15877.04537,15877.04537,15877.04537,1.28E-12,1.28E-12,18067.65191,18067.65191,18067.65191,4223.23739,207.0757906,2293.041343,2293.041343,2293.041343,2293.041343,2293.041343,7659.311107,7659.311107,2293.041343,7659.311107,7578.510895,7723.977046
