year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
2025,0.02,260,25,8,1,0.09,0,0,8,1,0
2026,0.02,260,25,8,1,0.09,0,0,8,1,0
2027,0.02,260,25,8,1,0.09,0,0,8,1,0
2028,0.02,260,25,8,1,0.09,0,0,8,1,0
2029,0.02,260,25,8,1,0.09,0,0,8,1,0
2030,0.02,260,25,8,1,0.09,0,0,8,1,0
2031,0.02,260,25,8,1,0.09,0,0,8,1,0
2032,0.02,260,25,8,1,0.09,0,0,8,1,0
2033,0.02,260,25,8,1,0.09,0,0,8,1,0
2034,0.02,260,25,8,1,0.09,0,0,8,1,0
2035,0.02,260,25,8,1,0.09,0,0,8,1,0
2036,0.02,260,25,8,1,0.09,0,0,8,1,0
2037,0.02,260,25,8,1,0.09,0,0,8,1,0
2038,0.02,260,25,8,1,0.09,0,0,8,1,0
2039,0.02,260,25,8,1,0.09,0,0,8,1,0
2040,0.02,260,25,8,1,0.09,0,0,8,1,0
2041,0.02,260,25,8,1,0.09,0,0,8,1,0
2042,0.02,260,25,8,1,0.09,0,0,8,1,0
2043,0.02,260,25,8,1,0.09,0,0,8,1,0
2044,0.02,260,25,8,1,0.09,0,0,8,1,0
2045,0.02,260,25,8,1,0.09,0,0,8,1,0
2046,0.02,260,25,8,1,0.09,0,0,8,1,0
2047,0.02,260,25,8,1,0.09,0,0,8,1,0
2048,0.02,260,25,8,1,0.09,0,0,8,1,0
2049,0.02,260,25,8,1,0.09,0,0,8,1,0
2050,0.02,260,25,8,1,0.09,0,0,8,1,0
2051,0.02,260,25,8,1,0.09,0,0,8,1,0
2052,0.02,260,25,8,1,0.09,0,0,8,1,0
2053,0.02,260,25,8,1,0.09,0,0,8,1,0
2054,0.02,260,25,8,1,0.09,0,0,8,1,0
2055,0.02,260,25,8,1,0.09,0,0,8,1,0
2056,0.02,260,25,8,1,0.09,0,0,8,1,0
2057,0.02,260,25,8,1,0.09,0,0,8,1,0
2058,0.02,260,25,8,1,0.09,0,0,8,1,0
2059,0.02,260,25,8,1,0.09,0,0,8,1,0
2060,0.02,260,25,8,1,0.09,0,0,8,1,0
2061,0.02,260,25,8,1,0.09,0,0,8,1,0
2062,0.02,260,25,8,1,0.09,0,0,8,1,0
2063,0.02,260,25,8,1,0.09,0,0,8,1,0
2064,0.02,260,25,8,1,0.09,0,0,8,1,0
2065,0.02,260,25,8,1,0.09,0,0,8,1,0
2066,0.02,260,25,8,1,0.09,0,0,8,1,0
2067,0.02,260,25,8,1,0.09,0,0,8,1,0
2068,0.02,260,25,8,1,0.09,0,0,8,1,0
2069,0.02,260,25,8,1,0.09,0,0,8,1,0
2070,0.02,260,25,8,1,0.09,0,0,8,1,0
2071,0.02,260,25,8,1,0.09,0,0,8,1,0
2072,0.02,260,25,8,1,0.09,0,0,8,1,0
2073,0.02,260,25,8,1,0.09,0,0,8,1,0
2074,0.02,260,25,8,1,0.09,0,0,8,1,0
2075,0.02,260,25,8,1,0.09,0,0,8,1,0
2076,0.02,260,25,8,1,0.09,0,0,8,1,0
2077,0.02,260,25,8,1,0.09,0,0,8,1,0
2078,0.02,260,25,8,1,0.09,0,0,8,1,0
2079,0.02,260,25,8,1,0.09,0,0,8,1,0
2080,0.02,260,25,8,1,0.09,0,0,8,1,0
2081,0.02,260,25,8,1,0.09,0,0,8,1,0
2082,0.02,260,25,8,1,0.09,0,0,8,1,0
2083,0.02,260,25,8,1,0.09,0,0,8,1,0
2084,0.02,260,25,8,1,0.09,0,0,8,1,0
2085,0.02,260,25,8,1,0.09,0,0,8,1,0
2086,0.02,260,25,8,1,0.09,0,0,8,1,0
2087,0.02,260,25,8,1,0.09,0,0,8,1,0
2088,0.02,260,25,8,1,0.09,0,0,8,1,0
2089,0.02,260,25,8,1,0.09,0,0,8,1,0
2090,0.02,260,25,8,1,0.09,0,0,8,1,0
2091,0.02,260,25,8,1,0.09,0,0,8,1,0
2092,0.02,260,25,8,1,0.09,0,0,8,1,0
2093,0.02,260,25,8,1,0.09,0,0,8,1,0
2094,0.02,260,25,8,1,0.09,0,0,8,1,0
2095,0.02,260,25,8,1,0.09,0,0,8,1,0
2096,0.02,260,25,8,1,0.09,0,0,8,1,0
2097,0.02,260,25,8,1,0.09,0,0,8,1,0
2098,0.02,260,25,8,1,0.09,0,0,8,1,0
2099,0.02,260,25,8,1,0.09,0,0,8,1,0
2100,0.02,260,25,8,1,0.09,0,0,8,1,0
